R,I,A,S,E,C,carrera_id,nombre_carrera
7.28,6.34,1.89,2.94,1.91,5.23,110,Lic. en Ingeniería Aeronáutica
7.36,7.04,1.75,2.24,3.74,5.43,110,Lic. en Ingeniería Aeronáutica
7.11,6.94,2.8,3.17,2.8,4.8,110,Lic. en Ingeniería Aeronáutica
7.26,5.6,2.06,2.53,3.24,4.94,110,Lic. en Ingeniería Aeronáutica
6.56,7.04,3.45,2.9,3.04,5.74,110,Lic. en Ingeniería Aeronáutica
6.6,5.78,3.83,3.51,3.49,6.06,110,Lic. en Ingeniería Aeronáutica
6.45,6.88,1.66,1.61,1.62,6.04,110,Lic. en Ingeniería Aeronáutica
7.28,6.76,1.52,2.68,1.95,5.11,110,Lic. en Ingeniería Aeronáutica
7.73,5.82,2.55,3.76,3.85,6.11,110,Lic. en Ingeniería Aeronáutica
6.89,6.44,3.34,2.53,3.16,5.87,110,Lic. en Ingeniería Aeronáutica
7.87,6.35,1.81,2.7,2.15,5.85,110,Lic. en Ingeniería Aeronáutica
7.4,5.68,3.18,1.78,1.82,5.94,110,Lic. en Ingeniería Aeronáutica
6.6,6.79,2.6,2.01,2.7,6.15,110,Lic. en Ingeniería Aeronáutica
7.78,6.37,3.3,3.57,2.91,5.25,110,Lic. en Ingeniería Aeronáutica
7.01,5.76,3.44,3.83,2.63,5.89,110,Lic. en Ingeniería Aeronáutica
7.24,7.07,1.69,3.29,2.05,4.92,110,Lic. en Ingeniería Aeronáutica
7.44,6.16,3.24,2.94,2.76,5.47,110,Lic. en Ingeniería Aeronáutica
7.02,6.13,2.68,3.24,3.62,5.26,110,Lic. en Ingeniería Aeronáutica
7.08,5.67,1.78,3.98,3.28,6.1,110,Lic. en Ingeniería Aeronáutica
7.53,5.7,2.26,1.93,2.15,5.44,110,Lic. en Ingeniería Aeronáutica
7.24,6.57,3.79,3.97,3.19,5.7,110,Lic. en Ingeniería Aeronáutica
6.58,5.82,2.72,3.28,3.52,5.67,110,Lic. en Ingeniería Aeronáutica
7.32,6.99,2.21,2.44,3.65,6.11,110,Lic. en Ingeniería Aeronáutica
6.59,5.87,3.2,2.78,2.66,6.08,110,Lic. en Ingeniería Aeronáutica
6.45,6.92,3.44,3.96,1.85,5.55,110,Lic. en Ingeniería Aeronáutica
7.19,6.94,2.47,2.79,1.97,5.81,110,Lic. en Ingeniería Aeronáutica
7.16,6.44,3.3,3.24,3.45,5.87,110,Lic. en Ingeniería Aeronáutica
6.55,5.82,3.75,2.57,3.77,6.06,110,Lic. en Ingeniería Aeronáutica
7.7,6.86,1.96,2.75,3.98,5.19,110,Lic. en Ingeniería Aeronáutica
6.53,6.15,2.38,3.3,2.67,5.98,110,Lic. en Ingeniería Aeronáutica
7.54,6.43,2.44,2.11,3.98,6.19,110,Lic. en Ingeniería Aeronáutica
6.64,6.51,3.87,3.79,3.6,4.82,110,Lic. en Ingeniería Aeronáutica
7.04,5.76,2.66,2.64,1.82,5.62,110,Lic. en Ingeniería Aeronáutica
7.19,6.23,1.93,1.78,3.13,6.18,110,Lic. en Ingeniería Aeronáutica
7.34,6.84,3.69,1.61,3.75,6.02,110,Lic. en Ingeniería Aeronáutica
7.88,6.76,1.82,2.14,2.87,5.01,110,Lic. en Ingeniería Aeronáutica
7.72,6.9,1.85,3.59,3.12,6.05,110,Lic. en Ingeniería Aeronáutica
7.49,6.76,1.64,3.8,2.51,5.91,110,Lic. en Ingeniería Aeronáutica
6.94,5.74,3.98,3.83,1.73,5.82,110,Lic. en Ingeniería Aeronáutica
7.64,6.88,1.97,2.62,3.77,5.81,110,Lic. en Ingeniería Aeronáutica
7.67,6.63,1.89,3.56,1.67,5.78,110,Lic. en Ingeniería Aeronáutica
7.48,6.91,3.54,2.89,3.87,6.16,110,Lic. en Ingeniería Aeronáutica
6.91,6.84,2.65,1.93,2.77,5.63,110,Lic. en Ingeniería Aeronáutica
6.69,6.1,2.7,2.18,2.19,5.58,110,Lic. en Ingeniería Aeronáutica
6.64,6.2,3.95,1.84,1.92,5.3,110,Lic. en Ingeniería Aeronáutica
7.57,5.8,3.67,3.58,1.75,6.03,110,Lic. en Ingeniería Aeronáutica
7.26,6.15,3.94,3.82,2.32,5.73,110,Lic. en Ingeniería Aeronáutica
6.64,6.14,1.88,2.03,1.74,4.86,110,Lic. en Ingeniería Aeronáutica
6.53,6.32,2.15,3.51,2.66,4.96,110,Lic. en Ingeniería Aeronáutica
7.01,6.65,1.89,2.23,2.58,5.48,110,Lic. en Ingeniería Aeronáutica
7.31,6.6,3.2,2.6,3.52,4.94,110,Lic. en Ingeniería Aeronáutica
7.39,6.85,2.6,3.32,3.87,5.11,110,Lic. en Ingeniería Aeronáutica
7.45,7.08,3.66,1.56,2.32,6.0,110,Lic. en Ingeniería Aeronáutica
6.84,6.98,3.87,2.52,2.55,6.19,110,Lic. en Ingeniería Aeronáutica
7.03,6.02,3.5,2.48,3.77,4.85,110,Lic. en Ingeniería Aeronáutica
6.66,6.92,3.76,2.91,1.61,4.9,110,Lic. en Ingeniería Aeronáutica
7.38,6.12,3.0,2.13,2.54,4.88,110,Lic. en Ingeniería Aeronáutica
7.9,7.03,3.39,1.76,1.89,5.76,110,Lic. en Ingeniería Aeronáutica
7.71,6.37,3.31,3.96,3.14,5.5,110,Lic. en Ingeniería Aeronáutica
7.82,5.91,3.27,3.89,3.03,5.17,110,Lic. en Ingeniería Aeronáutica
7.36,7.01,3.33,3.76,2.55,5.84,110,Lic. en Ingeniería Aeronáutica
7.54,5.77,1.9,2.06,3.42,5.73,110,Lic. en Ingeniería Aeronáutica
7.57,6.81,2.9,3.59,2.01,6.29,110,Lic. en Ingeniería Aeronáutica
6.73,6.22,2.57,1.76,3.95,5.04,110,Lic. en Ingeniería Aeronáutica
7.17,7.1,3.97,3.56,3.83,5.45,110,Lic. en Ingeniería Aeronáutica
6.9,5.78,3.78,3.85,3.2,6.21,110,Lic. en Ingeniería Aeronáutica
7.17,6.72,3.91,1.65,2.32,5.42,110,Lic. en Ingeniería Aeronáutica
7.16,6.16,3.29,3.27,3.59,6.21,110,Lic. en Ingeniería Aeronáutica
7.0,6.47,3.48,2.82,3.7,5.07,110,Lic. en Ingeniería Aeronáutica
6.69,6.88,2.3,3.1,1.94,5.05,110,Lic. en Ingeniería Aeronáutica
5.8,7.55,1.85,2.04,3.93,5.29,111,Lic. en Ingeniería Bioquímica
6.38,7.63,3.98,2.07,3.78,4.94,111,Lic. en Ingeniería Bioquímica
6.3,6.79,2.54,2.19,2.7,5.96,111,Lic. en Ingeniería Bioquímica
6.78,6.45,2.01,2.22,1.59,5.45,111,Lic. en Ingeniería Bioquímica
6.51,7.18,1.5,3.98,1.75,5.44,111,Lic. en Ingeniería Bioquímica
6.29,7.07,1.87,1.76,1.92,5.51,111,Lic. en Ingeniería Bioquímica
5.77,7.68,2.96,3.83,2.48,5.28,111,Lic. en Ingeniería Bioquímica
6.57,6.72,3.6,2.02,3.49,4.86,111,Lic. en Ingeniería Bioquímica
6.02,6.54,1.95,1.75,3.16,6.16,111,Lic. en Ingeniería Bioquímica
6.16,7.28,2.06,1.64,3.13,5.27,111,Lic. en Ingeniería Bioquímica
7.0,7.68,2.92,2.64,1.74,6.2,111,Lic. en Ingeniería Bioquímica
5.69,7.49,1.8,3.61,1.63,5.2,111,Lic. en Ingeniería Bioquímica
6.52,7.77,1.99,2.44,2.51,5.02,111,Lic. en Ingeniería Bioquímica
6.55,7.33,2.61,2.82,2.47,5.37,111,Lic. en Ingeniería Bioquímica
5.65,7.01,1.95,1.71,2.72,5.65,111,Lic. en Ingeniería Bioquímica
5.71,6.8,1.98,3.0,2.85,5.7,111,Lic. en Ingeniería Bioquímica
5.85,7.78,2.96,3.03,2.01,4.9,111,Lic. en Ingeniería Bioquímica
6.51,7.57,2.28,3.48,2.76,5.27,111,Lic. en Ingeniería Bioquímica
7.0,7.34,2.61,1.51,2.37,5.53,111,Lic. en Ingeniería Bioquímica
6.85,7.47,3.89,2.09,3.51,5.11,111,Lic. en Ingeniería Bioquímica
5.9,7.76,1.92,3.84,2.71,5.2,111,Lic. en Ingeniería Bioquímica
5.77,7.07,3.36,2.62,1.94,4.98,111,Lic. en Ingeniería Bioquímica
6.99,6.85,3.32,1.67,3.15,4.91,111,Lic. en Ingeniería Bioquímica
6.37,7.78,2.85,2.32,3.08,5.94,111,Lic. en Ingeniería Bioquímica
6.85,7.81,2.32,2.34,3.56,5.84,111,Lic. en Ingeniería Bioquímica
6.92,7.61,1.94,3.52,1.94,5.13,111,Lic. en Ingeniería Bioquímica
5.66,7.42,2.58,1.79,3.79,5.45,111,Lic. en Ingeniería Bioquímica
6.26,6.63,3.74,2.35,3.28,6.12,111,Lic. en Ingeniería Bioquímica
5.9,6.44,3.15,3.17,3.85,4.88,111,Lic. en Ingeniería Bioquímica
6.05,7.46,2.09,3.22,1.88,6.05,111,Lic. en Ingeniería Bioquímica
6.48,7.65,3.89,1.87,2.73,5.97,111,Lic. en Ingeniería Bioquímica
5.97,6.72,2.71,3.72,1.89,5.1,111,Lic. en Ingeniería Bioquímica
6.64,7.88,2.6,1.97,3.05,5.6,111,Lic. en Ingeniería Bioquímica
6.16,6.66,2.75,3.27,2.77,5.89,111,Lic. en Ingeniería Bioquímica
5.61,7.25,3.37,3.98,2.16,6.3,111,Lic. en Ingeniería Bioquímica
6.14,7.34,3.6,2.73,2.25,5.88,111,Lic. en Ingeniería Bioquímica
5.68,7.13,1.76,2.1,1.95,5.1,111,Lic. en Ingeniería Bioquímica
5.86,7.46,1.82,3.8,3.91,6.23,111,Lic. en Ingeniería Bioquímica
6.19,6.8,2.28,3.44,2.54,5.21,111,Lic. en Ingeniería Bioquímica
5.88,6.51,2.5,2.64,3.61,4.85,111,Lic. en Ingeniería Bioquímica
6.76,6.96,3.07,3.62,2.85,5.69,111,Lic. en Ingeniería Bioquímica
6.21,7.58,2.5,2.37,2.84,4.91,111,Lic. en Ingeniería Bioquímica
6.95,7.55,2.07,3.9,2.66,5.53,111,Lic. en Ingeniería Bioquímica
6.71,6.72,2.09,3.69,2.54,6.07,111,Lic. en Ingeniería Bioquímica
6.77,7.39,2.18,3.69,1.97,5.29,111,Lic. en Ingeniería Bioquímica
6.98,6.81,3.4,3.96,2.94,5.32,111,Lic. en Ingeniería Bioquímica
6.75,7.26,2.21,2.08,2.55,5.89,111,Lic. en Ingeniería Bioquímica
5.96,7.16,1.64,2.2,2.8,5.67,111,Lic. en Ingeniería Bioquímica
6.98,6.48,3.32,3.58,1.62,5.56,111,Lic. en Ingeniería Bioquímica
7.02,6.79,3.04,3.65,1.59,5.26,111,Lic. en Ingeniería Bioquímica
6.55,7.05,2.62,2.91,2.27,6.25,111,Lic. en Ingeniería Bioquímica
5.81,6.85,1.93,2.59,2.38,5.19,111,Lic. en Ingeniería Bioquímica
6.36,7.06,2.34,2.0,2.45,5.99,111,Lic. en Ingeniería Bioquímica
6.27,7.46,1.69,3.27,1.83,5.37,111,Lic. en Ingeniería Bioquímica
6.21,6.61,2.07,1.68,3.45,5.66,111,Lic. en Ingeniería Bioquímica
6.89,7.61,3.36,1.86,2.06,5.7,111,Lic. en Ingeniería Bioquímica
6.28,6.69,1.87,1.99,2.81,4.95,111,Lic. en Ingeniería Bioquímica
5.74,6.58,2.09,2.15,3.26,4.98,111,Lic. en Ingeniería Bioquímica
6.32,6.64,3.28,3.74,1.89,5.66,111,Lic. en Ingeniería Bioquímica
6.89,7.0,2.09,3.97,2.08,6.11,111,Lic. en Ingeniería Bioquímica
6.54,7.22,2.1,3.54,3.05,6.02,111,Lic. en Ingeniería Bioquímica
6.5,6.67,3.7,2.13,2.89,5.3,111,Lic. en Ingeniería Bioquímica
6.7,7.38,3.83,3.0,2.19,5.56,111,Lic. en Ingeniería Bioquímica
6.76,7.4,3.59,2.95,1.61,6.17,111,Lic. en Ingeniería Bioquímica
6.86,6.57,3.56,2.21,2.66,5.07,111,Lic. en Ingeniería Bioquímica
6.65,7.57,3.42,3.7,1.94,5.71,111,Lic. en Ingeniería Bioquímica
6.71,6.87,3.57,3.49,1.89,6.17,111,Lic. en Ingeniería Bioquímica
6.03,7.77,1.7,2.51,3.97,5.19,111,Lic. en Ingeniería Bioquímica
6.44,7.53,2.12,2.3,3.13,5.28,111,Lic. en Ingeniería Bioquímica
5.97,7.35,3.01,2.78,3.07,6.07,111,Lic. en Ingeniería Bioquímica
6.37,6.75,3.22,3.36,3.29,4.89,111,Lic. en Ingeniería Bioquímica
6.54,6.5,1.5,1.7,2.1,5.19,111,Lic. en Ingeniería Bioquímica
5.73,7.5,2.5,2.76,1.85,6.2,111,Lic. en Ingeniería Bioquímica
5.92,6.96,1.75,1.54,3.88,5.69,111,Lic. en Ingeniería Bioquímica
5.65,7.55,2.97,3.38,3.71,5.1,111,Lic. en Ingeniería Bioquímica
6.33,7.54,2.37,1.66,3.62,6.28,111,Lic. en Ingeniería Bioquímica
6.29,7.13,3.55,3.0,2.54,4.96,111,Lic. en Ingeniería Bioquímica
5.95,7.0,3.77,1.75,3.26,6.29,111,Lic. en Ingeniería Bioquímica
6.08,6.44,2.72,2.1,3.37,5.69,111,Lic. en Ingeniería Bioquímica
5.92,6.64,2.16,3.22,2.23,5.42,111,Lic. en Ingeniería Bioquímica
6.1,6.48,1.86,3.11,1.8,6.05,111,Lic. en Ingeniería Bioquímica
6.41,7.07,3.32,1.58,3.83,5.9,111,Lic. en Ingeniería Bioquímica
6.04,7.24,2.8,2.89,1.86,5.87,111,Lic. en Ingeniería Bioquímica
6.82,6.66,2.72,2.57,1.61,5.47,111,Lic. en Ingeniería Bioquímica
6.23,6.92,2.77,2.67,3.3,5.61,111,Lic. en Ingeniería Bioquímica
6.99,7.54,3.0,2.45,3.32,5.03,111,Lic. en Ingeniería Bioquímica
5.91,7.29,2.21,2.78,1.64,5.17,111,Lic. en Ingeniería Bioquímica
6.5,7.54,3.77,2.87,2.58,5.94,111,Lic. en Ingeniería Bioquímica
6.92,6.4,3.93,2.99,3.73,5.45,111,Lic. en Ingeniería Bioquímica
5.68,6.53,2.18,3.63,3.64,6.27,111,Lic. en Ingeniería Bioquímica
6.25,7.68,3.44,3.55,1.78,5.78,111,Lic. en Ingeniería Bioquímica
5.99,6.6,3.62,1.51,3.15,5.89,111,Lic. en Ingeniería Bioquímica
6.31,7.41,2.49,1.66,2.85,5.43,111,Lic. en Ingeniería Bioquímica
6.37,6.4,1.89,1.9,3.56,5.03,111,Lic. en Ingeniería Bioquímica
6.6,6.49,3.05,3.37,3.44,6.01,111,Lic. en Ingeniería Bioquímica
6.17,6.99,2.27,3.39,3.03,6.29,111,Lic. en Ingeniería Bioquímica
5.82,7.71,2.96,1.68,1.8,5.57,111,Lic. en Ingeniería Bioquímica
6.9,6.49,3.66,2.48,1.8,4.87,111,Lic. en Ingeniería Bioquímica
6.63,6.56,2.2,3.0,1.89,5.67,111,Lic. en Ingeniería Bioquímica
6.43,7.11,2.67,3.32,2.03,4.83,111,Lic. en Ingeniería Bioquímica
6.49,7.0,3.23,2.94,6.0,2.14,112,Lic. en Ingeniería Civil
6.82,6.18,2.9,3.95,6.19,2.96,112,Lic. en Ingeniería Civil
6.68,6.81,2.94,2.23,5.96,1.72,112,Lic. en Ingeniería Civil
7.06,5.97,2.97,2.18,5.91,2.18,112,Lic. en Ingeniería Civil
6.42,6.63,2.84,3.16,5.15,2.73,112,Lic. en Ingeniería Civil
6.95,6.81,1.83,3.01,5.27,1.72,112,Lic. en Ingeniería Civil
6.79,6.15,3.62,2.35,5.18,1.99,112,Lic. en Ingeniería Civil
7.84,6.31,2.31,1.95,5.75,1.87,112,Lic. en Ingeniería Civil
7.09,6.27,1.54,2.9,5.64,2.61,112,Lic. en Ingeniería Civil
6.47,6.07,2.99,2.65,5.48,2.86,112,Lic. en Ingeniería Civil
7.63,7.04,2.44,1.6,5.06,1.84,112,Lic. en Ingeniería Civil
6.46,6.31,3.5,3.06,6.09,3.22,112,Lic. en Ingeniería Civil
6.6,5.97,1.74,2.27,6.25,3.84,112,Lic. en Ingeniería Civil
6.97,6.26,3.12,3.86,6.06,3.18,112,Lic. en Ingeniería Civil
6.5,5.8,1.8,3.48,5.22,1.63,112,Lic. en Ingeniería Civil
7.14,6.36,2.02,2.06,4.82,3.73,112,Lic. en Ingeniería Civil
6.66,6.97,2.17,2.41,4.87,2.71,112,Lic. en Ingeniería Civil
6.66,6.47,2.3,3.41,6.25,2.52,112,Lic. en Ingeniería Civil
7.38,6.33,1.66,1.94,5.55,3.09,112,Lic. en Ingeniería Civil
7.34,6.0,3.33,2.05,5.94,2.63,112,Lic. en Ingeniería Civil
6.85,6.3,3.64,2.56,5.88,3.33,112,Lic. en Ingeniería Civil
6.67,6.92,2.14,2.24,5.83,1.95,112,Lic. en Ingeniería Civil
7.21,5.75,3.59,1.84,6.19,3.53,112,Lic. en Ingeniería Civil
7.09,6.54,2.0,2.69,5.82,3.17,112,Lic. en Ingeniería Civil
6.62,6.97,1.81,1.58,5.87,2.79,112,Lic. en Ingeniería Civil
7.85,6.01,3.82,3.79,6.09,3.08,112,Lic. en Ingeniería Civil
6.64,6.12,2.92,3.14,6.02,2.5,112,Lic. en Ingeniería Civil
7.1,6.69,1.93,3.7,5.15,1.97,112,Lic. en Ingeniería Civil
7.74,5.94,3.25,3.22,5.56,3.22,112,Lic. en Ingeniería Civil
7.45,5.96,1.83,3.84,5.85,3.79,112,Lic. en Ingeniería Civil
7.23,6.81,3.7,3.76,5.5,1.95,112,Lic. en Ingeniería Civil
7.66,6.73,1.87,2.86,5.81,3.94,112,Lic. en Ingeniería Civil
7.88,6.26,1.92,1.69,6.19,3.07,112,Lic. en Ingeniería Civil
7.01,6.59,2.5,2.53,5.3,2.19,112,Lic. en Ingeniería Civil
6.92,6.86,2.61,2.28,5.03,2.24,112,Lic. en Ingeniería Civil
6.91,5.98,3.2,2.55,5.43,3.65,112,Lic. en Ingeniería Civil
6.77,6.05,1.74,1.72,5.21,3.02,112,Lic. en Ingeniería Civil
7.12,5.82,2.69,2.11,5.97,2.08,112,Lic. en Ingeniería Civil
7.35,6.94,2.14,3.04,5.55,3.58,112,Lic. en Ingeniería Civil
6.6,6.64,2.59,2.19,5.29,3.71,112,Lic. en Ingeniería Civil
6.99,5.86,3.35,2.87,4.89,3.23,112,Lic. en Ingeniería Civil
7.26,6.59,1.96,2.6,5.82,2.85,112,Lic. en Ingeniería Civil
7.76,6.32,3.61,2.95,5.07,2.31,112,Lic. en Ingeniería Civil
7.52,6.58,3.1,2.81,5.32,3.2,112,Lic. en Ingeniería Civil
7.3,6.61,1.99,2.86,4.98,1.59,112,Lic. en Ingeniería Civil
7.41,6.01,3.81,2.69,5.2,2.04,112,Lic. en Ingeniería Civil
7.34,6.08,3.42,2.57,5.82,3.14,112,Lic. en Ingeniería Civil
6.74,6.19,1.86,3.77,5.56,3.02,112,Lic. en Ingeniería Civil
6.53,6.1,2.99,3.54,5.98,3.53,112,Lic. en Ingeniería Civil
7.03,6.63,2.0,3.35,6.02,3.81,112,Lic. en Ingeniería Civil
7.4,6.61,3.7,1.54,5.79,3.93,112,Lic. en Ingeniería Civil
7.2,6.74,2.62,2.32,5.82,2.05,112,Lic. en Ingeniería Civil
7.06,5.72,2.72,2.85,5.25,3.13,112,Lic. en Ingeniería Civil
6.75,6.08,3.67,3.15,4.85,3.09,112,Lic. en Ingeniería Civil
6.9,6.79,3.15,3.59,6.19,3.75,112,Lic. en Ingeniería Civil
7.37,6.43,2.66,1.99,5.27,1.66,112,Lic. en Ingeniería Civil
7.14,6.02,3.39,2.16,5.13,1.78,112,Lic. en Ingeniería Civil
7.11,6.02,1.95,2.6,5.06,1.91,112,Lic. en Ingeniería Civil
7.45,5.98,2.23,1.88,5.61,2.42,112,Lic. en Ingeniería Civil
7.07,6.27,3.68,2.94,5.13,1.74,112,Lic. en Ingeniería Civil
7.28,5.99,3.38,3.64,5.6,2.93,112,Lic. en Ingeniería Civil
7.07,5.89,3.21,1.81,5.71,1.75,112,Lic. en Ingeniería Civil
7.45,6.92,3.11,2.21,5.91,2.85,112,Lic. en Ingeniería Civil
7.02,6.95,2.21,3.34,6.08,1.74,112,Lic. en Ingeniería Civil
7.66,6.36,3.52,2.37,5.2,2.12,112,Lic. en Ingeniería Civil
7.1,6.56,3.27,1.8,5.08,3.74,112,Lic. en Ingeniería Civil
7.13,5.97,2.75,2.3,5.09,2.56,112,Lic. en Ingeniería Civil
6.69,5.85,2.83,2.45,6.29,2.29,112,Lic. en Ingeniería Civil
7.65,5.69,1.96,3.43,5.87,1.86,112,Lic. en Ingeniería Civil
7.03,6.14,1.58,1.96,6.06,3.65,112,Lic. en Ingeniería Civil
7.11,6.55,2.05,2.3,5.32,3.08,112,Lic. en Ingeniería Civil
6.96,5.64,3.4,2.64,5.82,3.67,112,Lic. en Ingeniería Civil
7.72,6.22,3.79,2.38,5.97,2.61,112,Lic. en Ingeniería Civil
7.85,5.76,3.95,2.23,5.73,1.92,112,Lic. en Ingeniería Civil
7.03,6.14,2.69,1.97,4.88,1.76,112,Lic. en Ingeniería Civil
6.87,6.68,2.8,3.31,5.96,3.18,112,Lic. en Ingeniería Civil
7.39,6.89,2.25,3.78,5.52,2.11,112,Lic. en Ingeniería Civil
7.13,6.8,1.87,2.25,5.57,2.23,112,Lic. en Ingeniería Civil
7.83,5.76,1.86,3.86,5.27,2.96,112,Lic. en Ingeniería Civil
6.41,6.67,2.9,3.62,5.75,2.3,112,Lic. en Ingeniería Civil
7.46,6.05,2.15,3.17,6.3,3.34,112,Lic. en Ingeniería Civil
7.02,6.14,1.88,3.39,4.82,2.62,112,Lic. en Ingeniería Civil
7.67,6.23,3.34,3.7,5.48,2.43,112,Lic. en Ingeniería Civil
7.28,6.37,2.84,1.64,5.13,1.68,112,Lic. en Ingeniería Civil
6.42,6.39,1.58,3.66,5.12,2.21,112,Lic. en Ingeniería Civil
7.89,6.23,1.94,2.72,5.09,3.72,112,Lic. en Ingeniería Civil
7.52,6.98,2.39,3.12,5.37,1.69,112,Lic. en Ingeniería Civil
6.62,6.51,1.66,2.46,5.43,3.15,112,Lic. en Ingeniería Civil
7.65,6.48,1.98,2.25,6.14,2.79,112,Lic. en Ingeniería Civil
6.62,5.68,2.64,1.88,5.89,3.3,112,Lic. en Ingeniería Civil
6.89,6.63,1.92,2.85,5.9,3.91,112,Lic. en Ingeniería Civil
6.9,6.46,1.7,3.87,5.3,3.92,112,Lic. en Ingeniería Civil
6.74,6.4,3.44,2.92,5.59,3.83,112,Lic. en Ingeniería Civil
7.49,6.83,1.51,2.99,4.87,2.8,112,Lic. en Ingeniería Civil
6.64,5.98,3.66,1.99,5.89,2.74,112,Lic. en Ingeniería Civil
7.88,6.94,2.32,3.03,4.97,2.5,112,Lic. en Ingeniería Civil
7.52,5.76,1.85,3.15,5.18,3.84,112,Lic. en Ingeniería Civil
7.24,5.76,2.32,2.11,6.04,2.83,112,Lic. en Ingeniería Civil
6.58,6.95,3.19,2.09,6.02,3.18,112,Lic. en Ingeniería Civil
6.7,7.09,2.07,3.7,4.86,3.2,112,Lic. en Ingeniería Civil
5.55,6.71,2.15,2.33,2.61,5.6,113,Lic. en Ingeniería de Software
5.87,6.45,3.68,2.65,3.88,6.41,113,Lic. en Ingeniería de Software
5.31,6.89,3.7,3.31,2.71,5.85,113,Lic. en Ingeniería de Software
4.88,7.36,3.98,2.94,1.7,6.99,113,Lic. en Ingeniería de Software
5.31,7.7,3.62,3.22,2.19,5.99,113,Lic. en Ingeniería de Software
4.86,7.32,3.14,3.03,1.94,6.93,113,Lic. en Ingeniería de Software
5.78,6.44,3.19,2.57,3.43,6.7,113,Lic. en Ingeniería de Software
6.21,6.5,3.65,3.68,1.71,7.08,113,Lic. en Ingeniería de Software
5.75,6.69,2.45,3.06,1.84,6.53,113,Lic. en Ingeniería de Software
5.11,7.59,3.18,2.75,2.02,6.87,113,Lic. en Ingeniería de Software
5.96,7.45,1.99,2.81,1.97,5.94,113,Lic. en Ingeniería de Software
5.46,6.53,2.58,3.85,1.7,6.18,113,Lic. en Ingeniería de Software
5.63,6.91,3.81,2.52,1.51,6.56,113,Lic. en Ingeniería de Software
5.19,7.17,1.85,2.32,2.39,6.21,113,Lic. en Ingeniería de Software
6.26,6.83,1.97,1.53,3.44,5.88,113,Lic. en Ingeniería de Software
5.9,7.77,2.49,2.64,2.37,6.58,113,Lic. en Ingeniería de Software
4.83,6.61,3.24,2.95,2.64,6.83,113,Lic. en Ingeniería de Software
5.55,7.39,3.7,1.78,3.8,6.6,113,Lic. en Ingeniería de Software
5.53,7.34,3.67,1.8,2.69,6.62,113,Lic. en Ingeniería de Software
5.81,7.84,2.23,2.48,1.89,6.8,113,Lic. en Ingeniería de Software
4.89,6.41,3.75,2.89,3.59,6.86,113,Lic. en Ingeniería de Software
5.4,6.75,3.04,2.11,3.4,5.97,113,Lic. en Ingeniería de Software
4.96,7.12,1.87,1.83,1.84,5.99,113,Lic. en Ingeniería de Software
5.46,7.49,2.45,3.58,2.41,6.28,113,Lic. en Ingeniería de Software
6.09,7.28,3.23,2.19,2.25,5.8,113,Lic. en Ingeniería de Software
5.77,6.66,3.48,1.98,3.56,6.48,113,Lic. en Ingeniería de Software
5.53,7.59,1.74,3.62,3.49,6.15,113,Lic. en Ingeniería de Software
5.37,7.33,3.67,3.42,1.95,5.95,113,Lic. en Ingeniería de Software
4.87,6.6,1.55,3.59,2.67,5.77,113,Lic. en Ingeniería de Software
5.34,7.72,3.01,3.39,3.67,6.18,113,Lic. en Ingeniería de Software
4.86,7.71,3.65,2.58,2.66,6.39,113,Lic. en Ingeniería de Software
5.7,6.53,2.7,1.71,2.52,6.67,113,Lic. en Ingeniería de Software
5.75,6.81,3.07,3.48,3.44,7.05,113,Lic. en Ingeniería de Software
5.05,6.78,1.6,1.59,3.62,6.39,113,Lic. en Ingeniería de Software
6.14,7.07,3.53,3.16,3.12,6.24,113,Lic. en Ingeniería de Software
5.75,6.48,2.5,3.5,2.49,7.1,113,Lic. en Ingeniería de Software
5.01,6.49,3.45,3.18,3.64,5.87,113,Lic. en Ingeniería de Software
5.81,7.29,1.71,2.53,1.96,5.98,113,Lic. en Ingeniería de Software
6.05,7.66,3.08,1.61,1.96,6.15,113,Lic. en Ingeniería de Software
6.23,6.89,3.93,3.0,1.51,6.01,113,Lic. en Ingeniería de Software
5.67,6.74,1.71,2.41,2.14,5.69,113,Lic. en Ingeniería de Software
6.02,6.71,2.2,3.74,2.26,6.52,113,Lic. en Ingeniería de Software
5.13,7.22,2.66,3.52,1.81,5.97,113,Lic. en Ingeniería de Software
6.03,7.12,3.24,2.07,2.04,6.72,113,Lic. en Ingeniería de Software
5.53,7.19,1.99,1.53,1.71,6.53,113,Lic. en Ingeniería de Software
5.77,6.76,1.92,2.96,2.94,6.54,113,Lic. en Ingeniería de Software
5.52,6.7,3.48,3.05,2.61,6.75,113,Lic. en Ingeniería de Software
6.19,7.47,3.54,3.77,2.71,6.29,113,Lic. en Ingeniería de Software
5.05,6.75,1.67,3.81,2.88,5.93,113,Lic. en Ingeniería de Software
5.19,6.44,3.15,2.25,1.82,7.05,113,Lic. en Ingeniería de Software
5.56,7.65,1.6,3.71,2.23,6.4,113,Lic. en Ingeniería de Software
4.95,6.6,1.76,2.63,2.9,6.82,113,Lic. en Ingeniería de Software
5.37,7.84,2.32,2.97,2.75,6.53,113,Lic. en Ingeniería de Software
5.82,6.45,1.79,2.68,3.26,6.73,113,Lic. en Ingeniería de Software
5.45,6.53,2.27,2.21,3.88,7.02,113,Lic. en Ingeniería de Software
5.73,7.14,3.28,3.33,2.64,6.87,113,Lic. en Ingeniería de Software
